Student Name,Operating System,Computer Networks,DBMS,DSA,LR,Maths,Study_Time,English_Score,Course Needed
Student 56,74,52,87,62,66,86,1,74,1
Student 57,86,56,96,63,71,57,6,63,1
Student 58,66,54,76,71,98,97,3,89,0
Student 59,81,60,99,81,55,81,3,77,1
Student 60,99,93,51,76,72,92,5,62,0
Student 61,60,96,93,70,68,84,4,98,1
Student 62,85,53,61,75,98,53,6,99,1
Student 63,60,88,72,90,92,61,2,64,0
Student 64,62,91,97,55,97,53,1,61,1
Student 65,87,89,96,85,73,94,1,55,0
Student 66,68,100,89,82,53,70,3,82,0
Student 67,66,75,59,88,99,71,2,83,0
Student 68,58,60,54,65,62,66,3,62,1
Student 69,100,90,62,54,98,89,7,75,0
Student 70,89,91,99,69,82,57,7,79,1
Student 71,80,54,83,94,75,100,8,79,0
Student 72,85,65,69,73,55,57,4,97,1
Student 73,73,89,82,52,85,95,5,54,0
Student 74,68,56,82,57,91,54,6,61,1
Student 75,67,76,58,60,73,92,8,77,1
Student 76,69,61,65,87,82,88,2,50,1
Student 77,97,90,57,83,55,72,2,65,1
Student 78,80,92,93,90,76,92,5,76,0
Student 79,85,73,90,97,78,79,4,74,1
Student 80,54,83,91,84,98,99,5,57,0
Student 81,82,86,81,78,87,94,2,93,0
Student 82,57,93,82,66,87,69,5,82,0
Student 83,53,79,84,90,90,77,6,100,0
Student 84,80,78,52,97,78,79,2,73,0
Student 85,51,57,92,86,96,94,5,92,0
Student 86,90,85,86,63,91,76,1,53,0
Student 87,60,79,54,57,80,79,7,67,1
Student 88,86,77,70,91,51,54,5,82,1
Student 89,79,56,63,79,66,75,6,75,1
Student 90,52,91,91,77,83,72,3,67,0
Student 91,71,58,65,54,68,89,8,66,1
Student 92,74,80,65,61,75,91,7,72,1
Student 93,52,72,85,55,98,99,1,100,0
Student 94,51,89,53,53,69,75,6,97,1
Student 95,94,78,90,72,56,97,8,55,0
Student 96,95,97,79,71,58,64,6,50,1
Student 97,87,67,84,66,82,52,1,76,1
Student 98,76,87,92,97,90,56,7,98,0
Student 99,78,99,65,90,77,62,5,91,0
Student 100,99,78,99,87,57,84,8,89,0
Student 101,65,51,51,64,96,92,7,90,1
Student 102,55,92,86,71,53,63,7,95,1
Student 103,97,73,84,63,93,84,3,56,0
Student 104,75,50,70,66,83,54,8,56,1
Student 105,50,85,64,66,97,51,7,88,1
Student 106,56,61,86,70,51,66,4,86,0
Student 107,51,89,92,77,55,98,5,88,0
Student 108,73,95,68,82,100,50,2,77,0
Student 109,51,100,94,57,74,76,7,83,0
Student 110,91,52,92,89,65,97,5,62,0
Student 111,72,97,80,57,79,76,3,90,0
Student 112,85,62,76,100,68,50,3,63,1
Student 113,61,55,97,67,50,96,4,64,0
Student 114,78,92,62,73,76,67,7,67,1
Student 115,94,50,93,61,74,76,1,85,0
Student 116,71,96,51,99,82,76,2,87,0
Student 117,65,82,79,89,77,75,3,69,0
Student 118,53,99,89,58,83,59,3,85,0
Student 119,52,86,93,63,59,91,2,62,1
Student 120,60,89,94,81,71,69,2,93,0
Student 121,75,77,64,97,65,75,7,84,0
Student 122,85,73,82,86,87,83,8,73,1
Student 123,59,91,71,69,52,88,8,61,1
Student 124,75,53,92,54,90,92,8,63,0
Student 125,70,68,73,55,81,81,5,92,1
Student 126,80,85,96,75,76,69,6,74,0
Student 127,97,77,53,91,81,83,5,54,0
Student 128,77,78,73,79,90,77,3,67,0
Student 129,100,61,77,55,92,66,2,63,1
Student 130,94,69,68,94,91,76,6,55,0
Student 131,99,90,50,66,97,69,1,89,0
Student 132,62,87,81,74,70,56,3,53,1
Student 133,64,87,93,84,65,63,4,51,0
Student 134,81,52,68,50,82,73,8,97,1
Student 135,95,70,55,53,100,83,4,94,0
Student 136,56,57,83,75,85,58,3,52,1
Student 137,59,50,94,78,79,55,7,93,1
Student 138,63,56,64,56,70,53,8,74,1
Student 139,55,70,53,81,97,95,5,89,0
Student 140,97,82,83,50,78,99,3,67,0
Student 141,75,73,93,73,85,69,7,60,0
Student 142,95,77,62,71,62,88,8,99,0
Student 143,97,97,62,91,73,98,1,81,1
Student 144,98,62,76,94,54,98,1,89,0
Student 145,64,54,84,63,74,87,7,65,1
Student 146,97,85,53,72,78,72,5,54,1
Student 147,58,82,81,61,53,99,5,53,1
Student 148,88,73,60,88,70,73,4,78,0
Student 149,100,77,93,74,94,67,6,88,0
Student 150,84,86,77,84,100,85,2,52,0
Student 151,58,97,64,56,55,53,1,74,1
Student 152,56,71,74,74,83,83,4,88,0
Student 153,85,66,96,77,79,83,4,91,1
Student 154,80,87,87,65,95,95,4,68,0
Student 155,90,91,79,100,67,72,4,81,0
Student 156,78,51,57,92,87,64,1,62,1
Student 157,82,96,74,85,61,56,5,96,0
Student 158,71,57,94,66,54,99,3,71,1
Student 159,69,55,61,72,70,73,5,60,1
Student 160,99,100,71,68,85,65,4,94,0
Student 161,71,69,89,88,79,50,7,93,0
Student 162,63,53,63,79,87,54,7,75,1
Student 163,79,91,60,87,83,86,8,93,0
Student 164,54,51,60,77,100,53,5,66,0
Student 165,60,72,54,98,51,57,2,88,1
Student 166,100,56,51,97,68,55,4,67,1
Student 167,98,68,64,50,66,58,6,75,1
Student 168,98,83,83,68,99,66,2,55,0
Student 169,93,69,93,94,76,56,1,70,0
Student 170,69,82,100,51,50,65,3,61,1
Student 171,76,99,71,87,75,99,1,53,0
Student 172,68,83,63,87,73,58,7,85,0
Student 173,53,63,75,63,58,90,6,52,1
Student 174,63,89,87,73,54,81,7,97,0
Student 175,70,72,70,64,78,51,3,96,1
Student 176,67,57,95,51,92,53,2,99,1
Student 177,84,78,84,96,99,92,3,66,1
Student 178,71,69,71,70,59,100,3,69,1
Student 179,87,68,81,97,91,50,2,51,1
Student 180,83,57,80,82,60,83,7,57,1
Student 181,53,67,93,86,98,89,8,71,0
Student 182,92,60,79,60,99,93,2,61,0
Student 183,85,86,60,64,59,65,7,80,1
Student 184,95,100,91,55,90,92,6,79,0
Student 185,81,90,96,85,93,53,2,52,0
Student 186,65,72,98,72,75,53,3,79,1
Student 187,79,88,63,61,82,77,2,82,0
Student 188,97,96,92,64,59,97,5,58,0
Student 189,98,59,71,85,82,100,5,70,0
Student 190,56,76,52,85,52,95,1,91,1
Student 191,97,100,66,65,93,65,2,95,0
Student 192,51,84,67,50,64,77,4,66,1
Student 193,62,58,90,52,75,92,1,86,1
Student 194,75,81,55,52,67,85,8,80,1
Student 195,68,89,98,64,57,73,1,52,1
Student 196,74,69,93,79,88,72,7,57,0
Student 197,84,89,68,81,88,64,1,58,0
Student 198,87,71,88,69,53,91,3,97,0
Student 199,79,66,90,50,62,96,6,95,0
Student 200,62,87,50,88,76,89,4,60,1
Student 201,50,96,56,81,71,53,4,66,1
Student 202,55,82,58,99,68,87,6,94,0
Student 203,65,85,66,97,82,57,2,79,0
Student 204,51,54,99,75,73,98,6,74,1
Student 205,76,65,69,64,87,50,7,57,1
Student 206,57,82,78,77,67,58,5,80,1
Student 207,52,86,100,87,97,73,1,52,0
Student 208,72,69,83,84,92,70,8,83,0
Student 209,56,82,61,78,53,86,6,83,1
Student 210,58,80,51,77,88,52,1,71,1
Student 211,72,66,81,52,70,83,4,73,1
Student 212,68,77,99,82,71,87,7,52,0
Student 213,86,84,98,84,70,89,6,75,0
Student 214,72,84,100,81,50,96,4,75,0
Student 215,94,89,61,76,65,54,6,88,0
Student 216,91,50,86,52,100,92,6,93,0
Student 217,57,76,96,66,62,61,4,77,1
Student 218,93,72,76,89,51,86,5,94,0
Student 219,95,65,79,93,61,56,7,74,1
Student 220,89,53,82,75,54,96,7,59,1
Student 221,60,71,100,100,82,92,5,92,0
Student 222,92,83,71,62,67,60,5,56,1
Student 223,55,75,83,94,95,62,8,77,0
Student 224,72,97,72,59,82,83,7,94,0
Student 225,53,99,75,50,82,66,7,66,1
Student 226,100,75,68,100,99,91,3,85,0
Student 227,96,98,69,76,87,98,2,78,0
Student 228,66,78,93,89,80,85,2,59,0
Student 229,55,62,81,59,68,94,7,52,1
Student 230,59,83,59,58,74,82,7,91,1
Student 231,60,76,84,58,74,77,4,85,1
Student 232,88,55,85,61,56,53,7,53,1
Student 233,70,73,89,81,85,85,3,90,0
Student 234,77,98,69,76,92,75,8,74,0
Student 235,99,100,74,85,99,87,2,80,0
Student 236,71,58,75,95,71,67,1,57,1
Student 237,87,82,93,72,74,61,5,73,0
Student 238,75,96,88,85,100,91,7,82,0
Student 239,52,87,91,93,83,95,5,66,0
Student 240,82,70,74,86,78,90,4,89,0
Student 241,97,65,51,68,98,51,7,77,1
Student 242,57,77,50,50,62,68,3,67,1
Student 243,71,67,87,85,72,68,6,52,1
Student 244,71,57,89,81,87,53,6,58,1
Student 245,69,96,57,61,69,93,3,73,1
Student 246,98,83,97,86,85,88,7,72,0
Student 247,50,79,81,57,67,74,2,82,1
Student 248,92,93,97,76,75,89,2,93,0
Student 249,75,61,97,93,72,76,1,100,0
Student 250,74,50,87,86,56,81,5,84,1
Student 251,78,96,73,57,76,87,4,84,0
Student 252,87,99,85,72,98,68,5,94,0
Student 253,88,97,82,75,86,97,4,98,0
Student 254,93,61,71,60,55,82,4,87,1
Student 255,85,69,56,84,57,68,5,52,1
Student 256,84,74,99,84,59,51,8,93,0
Student 257,90,95,72,84,74,58,6,66,0
Student 258,55,96,89,61,50,85,8,88,1
Student 259,82,60,53,87,56,90,5,54,1
Student 260,55,69,87,52,95,74,7,99,0
Student 261,84,72,59,54,84,65,7,100,1
Student 262,88,71,64,72,97,80,1,89,0
Student 263,89,78,94,91,84,53,2,64,0
Student 264,63,81,62,54,68,59,5,86,1
Student 265,98,63,53,96,75,89,7,72,0
Student 266,54,58,86,76,68,59,7,98,1
Student 267,50,66,98,84,72,68,5,69,1
Student 268,84,78,87,99,79,81,1,92,0
Student 269,60,70,61,98,61,85,5,73,1
Student 270,54,56,82,81,100,97,8,76,0
Student 271,50,76,66,56,66,71,1,59,1
Student 272,67,94,61,70,92,61,7,53,1
Student 273,94,91,86,61,76,74,5,99,0
Student 274,81,76,50,100,61,82,3,68,1
Student 275,62,65,94,56,98,82,2,99,0
Student 276,57,86,95,65,83,69,1,51,1
Student 277,82,72,82,62,64,81,7,65,1
Student 278,78,86,60,88,55,74,1,56,1
Student 279,76,100,73,93,83,50,1,98,0
Student 280,96,88,66,75,75,75,1,60,0
Student 281,84,74,53,90,86,53,8,70,1
Student 282,69,99,59,64,57,71,3,83,1
Student 283,77,58,87,86,85,87,2,100,0
Student 284,97,86,82,87,86,83,7,67,0
Student 285,77,61,69,88,50,86,7,93,1
Student 286,58,50,79,73,50,79,2,96,1
Student 287,94,53,77,60,73,81,6,76,1
Student 288,74,62,78,77,63,90,3,87,0
Student 289,74,87,88,64,65,94,7,75,0
Student 290,82,92,77,57,59,75,6,67,1
Student 291,64,74,55,59,61,70,7,71,1
Student 292,97,71,74,59,83,69,1,86,0
Student 293,93,68,52,92,69,50,5,65,1
Student 294,83,58,67,99,68,77,3,51,1
Student 295,73,52,72,92,75,96,5,57,1
Student 296,88,65,81,56,76,67,3,75,1
Student 297,73,62,60,84,85,75,7,53,1
Student 298,61,82,54,52,57,52,3,63,1
Student 299,75,76,100,52,97,66,6,71,0
Student 300,59,81,88,61,50,51,5,89,1
Student 301,94,75,77,87,76,84,4,71,0
Student 302,69,61,99,95,72,75,1,84,0
Student 303,83,72,96,95,78,59,6,72,0
Student 304,52,69,67,66,100,51,6,53,1
Student 305,72,74,52,86,87,85,3,84,0
Student 306,87,74,75,79,79,94,4,91,0
Student 307,96,59,76,77,57,100,1,84,0
Student 308,81,73,67,79,57,76,6,52,1
Student 309,69,76,99,59,60,100,7,92,0
Student 310,53,93,92,53,68,58,4,60,1
Student 311,65,70,95,93,68,99,6,96,0
Student 312,77,90,94,74,57,64,2,67,1
Student 313,65,64,65,81,96,77,2,85,0
Student 314,81,99,53,53,64,85,5,67,1
Student 315,50,58,58,50,52,50,4,74,1
Student 316,68,62,59,51,67,94,6,92,1
Student 317,53,50,66,71,59,73,5,58,1
Student 318,50,79,79,55,63,84,4,93,1
Student 319,92,83,100,85,60,91,3,74,0
Student 320,93,62,68,84,59,52,2,71,1
Student 321,65,82,71,80,61,89,6,76,1
Student 322,93,91,96,96,90,70,4,51,0
Student 323,51,75,79,71,57,69,6,72,1
Student 324,87,92,66,64,54,57,3,88,1
Student 325,55,54,93,87,82,79,1,83,0
Student 326,71,96,59,66,95,92,8,72,0
Student 327,50,50,71,83,71,99,5,99,1
Student 328,83,97,77,63,61,71,7,87,0
Student 329,81,86,77,50,74,100,1,70,0
Student 330,72,95,63,59,77,69,5,86,1
Student 331,87,59,57,82,51,86,3,91,1
Student 332,53,68,83,89,91,79,1,82,0
Student 333,98,53,96,76,91,57,3,90,0
Student 334,77,95,56,50,93,79,2,78,0
Student 335,89,60,56,94,83,70,2,98,0
Student 336,67,71,91,84,64,83,5,99,0
Student 337,90,69,76,64,80,87,6,92,0
Student 338,94,65,88,83,50,88,6,75,0
Student 339,100,81,86,68,65,61,7,72,0
Student 340,64,56,86,88,62,84,6,100,0
Student 341,76,71,92,73,67,59,7,74,1
Student 342,76,63,81,60,84,66,2,60,1
Student 343,63,63,67,79,85,64,5,80,1
Student 344,77,96,86,87,59,53,1,72,0
Student 345,53,90,50,68,56,51,3,72,1
Student 346,74,72,84,62,99,62,1,98,0
Student 347,54,99,91,90,54,86,1,54,0
Student 348,65,82,78,68,61,99,5,69,1
Student 349,80,80,63,76,56,61,5,72,1
Student 350,80,96,58,66,77,57,8,70,1
Student 351,60,57,66,54,100,84,6,71,1
Student 352,77,60,91,93,56,85,6,64,0
Student 353,81,80,100,64,68,55,4,64,1
Student 354,95,99,55,86,89,63,5,60,0
Student 355,63,53,94,64,75,91,4,60,1
Student 356,77,91,67,100,53,66,7,91,0
Student 357,92,95,85,83,78,62,4,81,0
Student 358,82,76,61,78,78,92,2,100,0
Student 359,61,63,50,89,94,88,2,96,0
Student 360,76,98,56,62,88,90,6,76,0
Student 361,51,95,95,75,72,60,5,64,1
Student 362,57,97,87,63,74,71,5,88,0
Student 363,80,100,66,53,77,59,2,63,1
Student 364,91,77,59,61,73,61,2,73,1
Student 365,72,83,74,94,97,68,6,90,0
Student 366,74,83,98,53,96,53,4,63,1
Student 367,90,98,66,60,91,66,7,59,0
Student 368,51,95,91,55,62,70,8,54,1
Student 369,60,87,98,100,87,52,4,95,0
Student 370,91,54,95,85,97,89,8,85,0
Student 371,98,50,51,64,71,99,4,50,1
Student 372,92,82,69,51,51,80,8,76,1
Student 373,96,76,93,71,78,66,1,86,0
Student 374,64,53,73,86,93,89,1,64,1
Student 375,95,89,92,93,95,89,3,87,0
Student 376,73,65,99,85,51,99,5,76,0
Student 377,89,60,83,97,51,95,1,89,0
Student 378,61,99,97,79,65,97,3,92,0
Student 379,100,69,63,57,54,72,6,60,1
Student 380,55,55,78,66,53,76,1,60,1
Student 381,69,54,97,63,65,56,5,87,1
Student 382,83,55,83,61,54,56,7,86,1
Student 383,83,99,85,90,65,62,4,56,0
Student 384,75,65,83,59,97,54,2,83,1
Student 385,83,84,84,71,59,100,1,53,0
Student 386,72,56,92,51,83,54,1,54,1
Student 387,69,92,95,61,96,57,3,75,0
Student 388,87,86,97,92,57,99,8,82,0
Student 389,62,70,84,78,61,80,6,78,1
Student 390,57,92,77,70,96,56,6,59,1
Student 391,74,90,68,54,51,66,2,81,1
Student 392,91,54,74,53,54,55,2,73,1
Student 393,60,60,94,67,57,83,1,78,1
Student 394,79,80,61,70,98,68,1,82,0
Student 395,60,91,67,95,67,95,3,95,0
Student 396,64,60,69,91,64,62,4,54,1
Student 397,67,67,63,85,70,99,3,62,1
Student 398,68,58,95,96,80,72,6,79,0
Student 399,94,60,63,59,57,56,1,95,1
Student 400,53,90,66,54,62,73,8,56,1
Student 401,79,87,94,72,90,92,7,75,0
Student 402,80,100,95,51,76,52,6,66,1
Student 403,97,57,65,57,93,93,1,92,0
Student 404,54,89,89,66,95,74,1,98,0
Student 405,86,58,64,87,56,70,6,86,1
Student 406,64,97,76,78,96,65,5,58,0
Student 407,83,66,62,67,74,93,2,55,1
Student 408,78,86,97,84,73,61,8,92,0
Student 409,69,59,94,86,55,72,1,59,1
Student 410,76,97,70,67,83,70,8,58,1
Student 411,92,90,98,68,62,57,8,60,0
Student 412,52,55,66,63,75,60,7,54,1
Student 413,86,68,91,91,63,55,4,95,0
Student 414,96,52,82,51,94,59,7,50,1
Student 415,57,64,84,88,60,84,1,85,1
Student 416,95,74,70,87,61,86,8,51,1
Student 417,60,62,53,61,59,71,8,84,1
Student 418,64,50,99,97,69,65,1,89,0
Student 419,83,51,80,73,85,92,8,54,1
Student 420,97,85,75,62,72,75,4,86,0
Student 421,66,65,67,88,92,66,5,71,1
Student 422,88,65,79,93,67,97,1,61,0
Student 423,63,73,97,73,77,63,3,83,0
Student 424,79,74,78,70,95,57,4,56,1
Student 425,57,51,68,80,86,76,6,80,1
Student 426,90,82,68,57,72,96,6,83,0
Student 427,73,68,90,95,76,56,7,91,0
Student 428,83,65,52,93,51,59,8,81,1
Student 429,73,98,74,98,66,90,1,91,0
Student 430,85,82,72,77,84,73,5,90,0
Student 431,76,54,62,55,100,71,4,76,1
Student 432,58,95,54,68,54,66,3,82,1
Student 433,55,67,91,97,52,96,4,71,0
Student 434,99,97,87,87,72,90,7,84,0
Student 435,67,72,60,63,90,84,5,99,0
Student 436,58,81,81,59,93,85,6,76,0
Student 437,73,60,89,77,65,87,8,53,1
Student 438,81,62,100,92,50,78,7,99,0
Student 439,53,100,90,68,60,77,2,96,0
Student 440,75,98,84,81,96,93,4,100,0
Student 441,65,97,58,97,66,56,8,62,1
Student 442,73,52,50,60,68,80,1,93,1
Student 443,79,61,60,71,52,64,2,88,1
Student 444,87,73,72,67,100,97,7,62,0
Student 445,89,99,82,66,60,78,7,97,0
Student 446,69,72,99,50,78,84,7,83,0
Student 447,79,52,96,78,98,53,2,53,1
Student 448,91,70,73,96,55,69,5,68,1
Student 449,76,82,80,84,95,72,2,73,0
Student 450,51,92,59,52,58,86,8,86,1
Student 451,93,70,68,74,78,77,4,90,0
Student 452,77,85,54,84,68,74,2,53,1
Student 453,75,91,73,82,64,88,8,78,0
Student 454,94,93,81,92,51,85,3,89,0
Student 455,53,63,60,92,71,56,8,89,1
Student 456,55,95,64,87,81,51,4,71,1
Student 457,77,71,96,76,70,91,1,78,0
Student 458,57,60,94,75,63,58,6,77,1
Student 459,56,83,83,89,71,60,2,61,1
Student 460,82,93,100,64,54,75,4,80,0
Student 461,93,51,76,61,76,75,6,65,1
Student 462,57,77,71,75,93,54,8,66,1
Student 463,56,64,75,60,70,68,3,60,1
Student 464,54,52,78,87,86,58,7,56,1
Student 465,67,77,51,63,72,53,3,76,1
Student 466,92,97,56,60,93,74,7,77,0
Student 467,74,59,86,55,51,53,7,56,1
Student 468,94,51,68,59,63,99,1,54,1
Student 469,51,54,74,58,62,69,1,58,1
Student 470,81,59,96,55,88,87,6,95,0
Student 471,96,68,53,91,88,67,1,96,0
Student 472,78,91,70,99,72,92,5,51,0
Student 473,96,94,84,94,77,86,4,82,0
Student 474,60,82,69,92,59,66,6,98,0
Student 475,94,84,51,71,76,97,2,65,0
Student 476,76,53,79,75,95,55,3,60,1
Student 477,61,70,59,61,66,70,6,68,1
Student 478,60,81,67,51,80,75,7,67,1
Student 479,90,82,68,99,64,69,1,69,0
Student 480,88,71,88,59,84,91,2,63,0
Student 481,51,86,81,90,63,65,6,80,1
Student 482,58,90,82,76,65,76,6,72,1
Student 483,51,63,65,75,99,70,6,60,1
Student 484,63,100,76,93,54,100,1,70,0
Student 485,75,52,99,98,52,87,6,63,0
Student 486,95,67,87,69,87,68,1,69,0
Student 487,51,51,76,95,100,92,2,91,0
Student 488,71,57,60,70,69,100,1,80,1
Student 489,77,78,99,70,63,99,2,100,0
Student 490,92,62,69,97,73,64,1,67,1
Student 491,58,94,100,65,100,60,6,87,0
Student 492,50,83,92,61,84,95,6,59,1
Student 493,66,65,82,58,57,69,3,82,1
Student 494,68,73,65,74,94,68,7,92,0
Student 495,87,87,62,60,55,74,6,90,1
Student 496,80,54,61,89,81,83,3,92,0
Student 497,92,74,94,60,80,63,3,51,1
Student 498,75,69,61,86,84,69,2,94,0
Student 499,70,98,89,100,66,55,1,66,0
Student 500,98,65,57,51,90,61,5,71,1
Student 501,61,56,58,59,57,52,4,97,1
Student 502,79,70,81,82,78,87,1,97,0
Student 503,73,69,82,65,50,64,7,86,1
Student 504,62,82,67,53,81,55,4,90,1
Student 505,63,63,66,93,50,51,5,98,1
Student 506,72,70,87,63,96,52,6,83,1
Student 507,64,73,50,82,77,97,2,70,1
Student 508,89,72,97,69,95,66,6,63,0
Student 509,58,89,76,57,81,96,2,79,0
Student 510,58,93,70,50,66,81,1,96,1
Student 511,65,79,93,75,69,99,6,91,0
Student 512,54,85,74,80,54,78,1,84,1
Student 513,98,68,73,90,53,92,3,92,0
Student 514,82,61,96,50,77,58,7,80,1
Student 515,100,71,92,65,64,100,3,59,0
Student 516,73,97,68,75,51,70,5,68,1
Student 517,97,85,51,88,53,88,6,59,1
Student 518,74,75,95,67,56,52,7,71,1
Student 519,51,89,89,66,56,81,7,67,1
Student 520,85,71,59,61,60,74,8,80,1
Student 521,68,53,79,70,65,61,2,96,1
Student 522,70,75,54,63,83,78,4,77,1
Student 523,100,80,97,77,97,68,6,100,0
Student 524,98,65,89,78,72,59,3,81,0
Student 525,58,91,95,51,70,65,6,74,1
Student 526,54,96,90,81,76,96,2,93,0
Student 527,73,72,87,54,62,52,7,61,1
Student 528,71,54,60,74,57,56,1,92,1
Student 529,100,76,84,84,94,50,8,60,0
Student 530,76,60,91,85,100,66,4,88,0
Student 531,65,69,71,51,54,88,3,63,1
Student 532,88,71,61,92,75,80,3,55,1
Student 533,93,93,82,99,79,56,6,74,0
Student 534,56,64,93,80,64,50,6,72,1
Student 535,94,64,51,52,78,79,6,65,1
Student 536,78,94,64,73,64,65,8,77,1
Student 537,55,60,59,98,87,87,4,79,1
Student 538,74,88,80,80,67,58,8,74,1
Student 539,56,87,52,93,73,63,2,50,1
Student 540,99,59,86,52,89,97,3,51,0
Student 541,68,77,64,51,56,59,3,98,1
Student 542,64,65,82,90,66,82,5,96,0
Student 543,88,80,90,59,64,94,5,76,0
Student 544,96,62,84,61,54,52,5,63,1
Student 545,57,75,59,83,68,61,8,66,1
Student 546,71,98,87,79,81,59,3,80,0
Student 547,79,82,76,54,81,96,8,66,0
Student 548,90,67,59,52,65,54,4,82,1
Student 549,71,80,92,67,62,76,1,84,0
Student 550,70,100,100,54,51,58,3,55,1
Student 551,69,50,87,82,54,87,6,53,1
Student 552,87,65,50,87,62,58,3,74,1
Student 553,60,50,86,72,52,98,4,62,1
Student 554,98,80,86,83,73,67,6,100,0
Student 555,73,78,51,58,63,62,3,77,1
Student 556,91,93,60,71,79,64,7,71,0
Student 557,73,85,69,60,94,85,4,54,1
Student 558,80,68,77,58,50,80,4,92,1
Student 559,81,79,96,85,87,52,5,77,0
Student 560,63,71,68,68,97,74,5,91,0
Student 561,62,54,69,93,72,87,1,63,1
Student 562,57,83,91,78,64,77,6,64,1
Student 563,93,74,94,61,90,62,5,98,0
Student 564,96,89,90,92,84,96,1,78,0
Student 565,61,95,89,70,55,64,8,67,1
Student 566,56,74,83,82,81,72,4,75,1
Student 567,74,67,80,85,63,86,6,76,0
Student 568,85,52,100,86,88,83,7,74,0
Student 569,88,57,62,100,75,74,1,56,1
Student 570,79,57,82,99,66,86,7,62,0
Student 571,81,52,78,66,79,81,1,94,0
Student 572,60,68,71,100,60,59,3,94,1
Student 573,58,97,91,100,60,65,6,70,0
Student 574,88,82,82,96,76,76,6,88,0
Student 575,54,76,64,75,95,52,3,75,1
Student 576,98,72,86,69,86,90,7,84,0
Student 577,90,61,69,80,58,80,6,96,0
Student 578,59,92,79,98,69,97,1,88,0
Student 579,61,59,79,75,91,87,5,65,1
Student 580,85,90,95,73,92,52,7,54,0
Student 581,94,97,68,87,63,87,4,52,0
Student 582,89,92,58,75,89,72,2,91,0
Student 583,67,54,68,80,100,71,6,88,0
Student 584,95,74,94,53,53,60,8,87,1
Student 585,90,61,100,94,79,88,5,78,0
Student 586,62,91,53,84,97,85,3,70,0
Student 587,80,91,56,99,84,69,6,81,0
Student 588,78,65,72,52,65,63,8,92,1
Student 589,99,90,77,77,64,56,8,82,0
Student 590,76,89,51,52,62,52,2,93,1
Student 591,68,98,94,88,100,57,2,55,0
Student 592,74,53,65,100,71,56,2,83,1
Student 593,90,51,75,58,63,99,8,78,1
Student 594,92,98,97,69,71,88,3,62,0
Student 595,80,97,96,52,88,83,7,87,0
Student 596,77,55,86,94,72,55,3,92,0
Student 597,90,59,91,75,99,87,7,83,0
Student 598,57,73,97,94,80,67,7,64,0
Student 599,94,95,69,72,71,62,6,86,0
Student 600,54,80,94,91,57,53,8,86,1
Student 601,78,65,81,76,61,92,5,50,1
Student 602,71,84,71,95,79,67,1,61,0
Student 603,89,83,69,74,63,73,2,67,1
Student 604,84,80,68,97,86,65,6,62,0
